Company,Entries,Rating,Median Salary,Upper Range,Lower Range,Salary Interval
Enosis Solutions (Bangladesh),212,4.2,50000.0,54000.0,45000.0, / mo
BJIT,164,3.5,40000.0,50000.0,30000.0, / mo
Brain Station-23,145,4.1,63167.0,76000.0,51000.0, / mo
Samsung R&D Institute Bangladesh,139,3.7,53000.0,62000.0,45000.0, / mo
Secure Link Services,98,3.8,58333.0,84000.0,40000.0, / mo
Tiger IT Bangladesh,79,3.5,60500.0,80000.0,50000.0, / mo
REVE Systems,62,3.1,70000.0,80000.0,53000.0, / mo
Cefalo,54,4.5,86667.0,110000.0,61000.0, / mo
WellDev,54,4.5,67708.0,83000.0,50000.0, / mo
LEADS Corporation,51,3.0,30000.0,35000.0,21000.0, / mo
Therap BD,39,3.7,65000.0,100000.0,50000.0, / mo
DataSoft,39,2.4,37167.0,48000.0,25000.0, / mo
AppsCode,37,4.1,58333.0,68000.0,50000.0, / mo
ReliSource,33,4.0,72500.0,96000.0,46000.0, / mo
EchoLogyx,32,3.2,55000.0,110000.0,46000.0, / mo
Bit Mascot,30,3.2,31208.0,43000.0,26000.0, / mo
BRAC IT Services,30,3.9,41833.0,53000.0,29000.0, / mo
Samsung Electronics,30,3.8,50000.0,54000.0,45000.0, / mo
Kona Software Lab,30,3.6,78333.0,101000.0,70000.0, / mo
Sheba Platform Limited,25,2.7,35000.0,50000.0,26000.0, / mo
InterCloud (Bangladesh),11,4.1,27500.0,37000.0,25000.0, / mo
IPVision Canada,11,2.7,72833.0,82000.0,52000.0, / mo
Orbitax,11,2.8,81250.0,98000.0,50000.0, / mo
Therap Services,11,4.0,52917.0,67000.0,50000.0, / mo
Flyte Solutions,11,2.7,46667.0,80000.0,35000.0, / mo
IQVIA,11,3.9,57500.0,86000.0,50000.0, / mo
ERA-InfoTech,11,3.2,40000.0,50000.0,20000.0, / mo
Spring Rain,10,4.2,48958.0,60000.0,35000.0, / mo
SoftifyBD,10,3.0,22250.0,41000.0,18000.0, / mo
Binate Solutions,10,4.3,80833.0,100000.0,59000.0, / mo
Millennium Information Solution,10,3.5,50142.0,56000.0,29000.0, / mo
iBOS,10,2.8,32750.0,38000.0,24000.0, / mo
eGeneration,10,3.9,35000.0,52000.0,29000.0, / mo
Welcome Software,10,4.7,96875.0,118000.0,66000.0, / mo
Bkash,9,4.3,50000.0,124000.0,28000.0, / mo
Business Accelerate BD,9,3.2,30000.0,48000.0,25000.0, / mo
Orangebd,9,3.5,35003.0,65000.0,20000.0, / mo
Robi,9,3.9,40033.0,50000.0,38000.0, / mo
Riseup Labs,9,4.3,40000.0,49000.0,35000.0, / mo
ABC,9,3.9,40000.0,55000.0,16000.0, / mo
Field Buzz,9,4.2,80000.0,100000.0,38000.0, / mo
GrameenPhone,9,4.4,55000.0,60000.0,15000.0, / mo
Datasoft Manufacturing & Assembly,9,2.2,25000.0,35000.0,23000.0, / mo
Priyo.com,9,3.1,80000.0,85000.0,58000.0, / mo
BNX Networks,9,2.5,18000.0,22000.0,16000.0, / mo
Adventure (Japan),8,3.3,60958.0,66000.0,51000.0, / mo
Bdjobs.com,8,3.2,28750.0,48000.0,25000.0, / mo
M2SYS,8,4.0,65000.0,100000.0,26000.0, / mo
Google,8,4.3,532000.0,11000000.0,146000.0, / mo
Impel IT Solutions,8,3.9,70000.0,95000.0,53000.0, / mo
DreamOnline Limited,8,3.7,43000.0,57000.0,32000.0, / mo
Unisoft Systems (Bangladesh),8,2.5,20417.0,40000.0,13000.0, / mo
Prime Tech Solutions,8,4.6,40000.0,52000.0,28000.0, / mo
Daraz,8,3.8,38750.0,101000.0,26000.0, / mo
Panasonic,8,3.8,390000.0,613000.0,243000.0, / mo
Escenic,8,3.7,99667.0,119000.0,10000.0, / mo
Daraz,7,3.5,59167.0,80000.0,26000.0, / mo
Orangetoolz,7,3.2,50000.0,67000.0,28000.0, / mo
First Student,7,3.9,35000.0,40000.0,25000.0, / mo
Apsis Solutions (Singapore),7,3.9,45000.0,70000.0,40000.0, / mo
BongoBD,7,3.7,54167.0,119000.0,40000.0, / mo
CMED Health,7,2.5,45000.0,87000.0,30000.0, / mo
IdeaScale,7,4.3,85000.0,118000.0,35000.0, / mo
Software Engineering Institute,7,4.6,50000.0,200000.0,30000.0, / mo
Swosti,7,2.8,15167.0,30000.0,15000.0, / mo
AjkerDeal.Com,7,2.7,13000.0,22000.0,12000.0, / mo
Workspace Infotech,7,3.8,35000.0,60000.0,30000.0, / mo
Subra Systems,7,2.4,28000.0,40000.0,20000.0, / mo
Apurba Technologies (Bangladesh),7,3.5,37500.0,50000.0,31000.0, / mo
Datasoft Systems,7,3.4,42000.0,53000.0,25000.0, / mo
Zaynax Health,6,2.8,22500.0,32000.0,20000.0, / mo
Kovair Software,6,2.9,30000.0,36000.0,24000.0, / mo
Spectrum Engineering Consortium Limited,6,3.2,26771.0,41000.0,13000.0, / mo
Kite Games Studio,6,3.5,49375.0,75000.0,41000.0, / mo
Progoti,6,4.0,92917.0,163000.0,57000.0, / mo
shurjoMukhi,6,3.9,55000.0,72000.0,38000.0, / mo
Trenza Softwares,6,1.3,22500.0,31000.0,11000.0, / mo
Fiftytwo,6,4.6,54479.0,62000.0,49000.0, / mo
Southtech,6,3.2,30000.0,44000.0,25000.0, / mo
CoKreates,6,1.6,40000.0,51000.0,30000.0, / mo
Audacity IT Solutions,5,4.0,40000.0,40000.0,27000.0, / mo
Linkstaff,5,2.5,30000.0,45000.0,26000.0, / mo
MetaDesign Solutions,5,4.2,50000.0,61000.0,39000.0, / mo
Bizzntek,5,3.8,36833.0,59000.0,33000.0, / mo
CodeCrafters,5,4.7,106250.0,141000.0,66000.0, / mo
V2 Technologies,5,3.5,50000.0,220000.0,24000.0, / mo
10 Minute School,5,4.1,25000.0,90000.0,25000.0, / mo
Structured Data Systems,5,3.7,64167.0,87000.0,42000.0, / mo
SolutionSpin,5,3.9,39167.0,47000.0,36000.0, / mo
Technohaven,5,2.3,20000.0,36000.0,15000.0, / mo
Sheba Technologies,5,3.9,20000.0,62000.0,14000.0, / mo
IBCS Primax Software,5,3.7,45000.0,53000.0,35000.0, / mo
SCT-Bangla,5,1.7,35000.0,53000.0,19000.0, / mo
iHealthScreen,5,3.8,52000.0,93000.0,28000.0, / mo
Selise Digital Platforms,5,3.5,97500.0,109000.0,65000.0, / mo
Walton HI-Tech Industries,5,3.6,30000.0,46000.0,25000.0, / mo
Circle FinTech,5,2.8,45000.0,64000.0,35000.0, / mo
BRAC,5,3.8,30000.0,367000.0,18000.0, / mo
Techvillage,5,3.3,41000.0,49000.0,38000.0, / mo
VISER X,5,3.9,30000.0,47000.0,17000.0, / mo
iXora Solution,5,4.3,66667.0,84000.0,44000.0, / mo
Bit Byte Technology,5,4.0,32500.0,49000.0,15000.0, / mo
XYZ,5,3.7,40000.0,50000.0,23000.0, / mo
Apsis Solutions,5,2.9,45000.0,61000.0,35000.0, / mo
DONE by NONE,5,4.1,40000.0,80000.0,30000.0, / mo
CodeSmith Tech,5,3.8,32500.0,35000.0,27000.0, / mo
Automation Solutionz,5,4.2,70000.0,82000.0,63000.0, / mo
Kinetik,5,4.8,75000.0,109000.0,39000.0, / mo
iQuantile,5,3.2,30000.0,42000.0,24000.0, / mo
Hameem Group,5,3.9,40000.0,54000.0,30000.0, / mo
Ethics Advanced Technology,5,3.5,25000.0,45000.0,20000.0, / mo
Secure Link Services,5,3.8,15000.0,50000.0,15000.0, / mo
