Company,Rating,Salaries,Medians,Frequencies,Uppers,Lowers
Enosis Solutions (Bangladesh),4.2,See 212 salaries from this location,"BDT 50,000", / mo,BDT 54K,BDT 45K
BJIT,3.5,See 164 salaries from this location,"BDT 40,000", / mo,BDT 50K,BDT 30K
Brain Station-23,4.1,See 145 salaries from this location,"BDT 63,167", / mo,BDT 76K,BDT 51K
Samsung R&D Institute Bangladesh,3.7,See 139 salaries from this location,"BDT 53,000", / mo,BDT 62K,BDT 45K
Secure Link Services,3.8,See 98 salaries from this location,"BDT 58,333", / mo,BDT 84K,BDT 40K
Tiger IT Bangladesh,3.5,See 79 salaries from this location,"BDT 60,500", / mo,BDT 80K,BDT 50K
REVE Systems,3.1,See 62 salaries from this location,"BDT 70,000", / mo,BDT 80K,BDT 53K
Cefalo,4.5,See 54 salaries from this location,"BDT 86,667", / mo,BDT 110K,BDT 61K
WellDev,4.5,See 54 salaries from this location,"BDT 67,708", / mo,BDT 83K,BDT 50K
LEADS Corporation,3,See 51 salaries from this location,"BDT 30,000", / mo,BDT 35K,BDT 21K
Therap BD,3.7,See 39 salaries from this location,"BDT 65,000", / mo,BDT 100K,BDT 50K
DataSoft,2.4,See 39 salaries from this location,"BDT 37,167", / mo,BDT 48K,BDT 25K
AppsCode,4.1,See 37 salaries from this location,"BDT 58,333", / mo,BDT 68K,BDT 50K
ReliSource,4,See 33 salaries from this location,"BDT 72,500", / mo,BDT 96K,BDT 46K
EchoLogyx,3.2,See 32 salaries from this location,"BDT 55,000", / mo,BDT 110K,BDT 46K
Bit Mascot,3.2,See 30 salaries from this location,"BDT 31,208", / mo,BDT 43K,BDT 26K
BRAC IT Services,3.9,See 30 salaries from this location,"BDT 41,833", / mo,BDT 53K,BDT 29K
Samsung Electronics,3.8,See 30 salaries from this location,"BDT 50,000", / mo,BDT 54K,BDT 45K
Kona Software Lab,3.6,See 30 salaries from this location,"BDT 78,333", / mo,BDT 101K,BDT 70K
Sheba Platform Limited,2.7,See 25 salaries from this location,"BDT 35,000", / mo,BDT 50K,BDT 26K
InterCloud (Bangladesh),4.1,See 11 salaries from this location,"BDT 27,500", / mo,BDT 37K,BDT 25K
IPVision Canada,2.7,See 11 salaries from this location,"BDT 72,833", / mo,BDT 82K,BDT 52K
Orbitax,2.8,See 11 salaries from this location,"BDT 81,250", / mo,BDT 98K,BDT 50K
Therap Services,4,See 11 salaries from this location,"BDT 52,917", / mo,BDT 67K,BDT 50K
Flyte Solutions,2.7,See 11 salaries from this location,"BDT 46,667", / mo,BDT 80K,BDT 35K
IQVIA,3.9,See 11 salaries from this location,"BDT 57,500", / mo,BDT 86K,BDT 50K
ERA-InfoTech,3.2,See 11 salaries from this location,"BDT 40,000", / mo,BDT 50K,BDT 20K
Spring Rain,4.2,See 10 salaries from this location,"BDT 48,958", / mo,BDT 60K,BDT 35K
SoftifyBD,3,See 10 salaries from this location,"BDT 22,250", / mo,BDT 41K,BDT 18K
Binate Solutions,4.3,See 10 salaries from this location,"BDT 80,833", / mo,BDT 100K,BDT 59K
Millennium Information Solution,3.5,See 10 salaries from this location,"BDT 50,142", / mo,BDT 56K,BDT 29K
iBOS,2.8,See 10 salaries from this location,"BDT 32,750", / mo,BDT 38K,BDT 24K
eGeneration,3.9,See 10 salaries from this location,"BDT 35,000", / mo,BDT 52K,BDT 29K
Welcome Software,4.7,See 10 salaries from this location,"BDT 96,875", / mo,BDT 118K,BDT 66K
Bkash,4.3,See 9 salaries from this location,"BDT 50,000", / mo,BDT 124K,BDT 28K
Business Accelerate BD,3.2,See 9 salaries from this location,"BDT 30,000", / mo,BDT 48K,BDT 25K
Orangebd,3.5,See 9 salaries from this location,"BDT 35,003", / mo,BDT 65K,BDT 20K
Robi,3.9,See 9 salaries from this location,"BDT 40,033", / mo,BDT 50K,BDT 38K
Riseup Labs,4.3,See 9 salaries from this location,"BDT 40,000", / mo,BDT 49K,BDT 35K
ABC,3.9,See 9 salaries from this location,"BDT 40,000", / mo,BDT 55K,BDT 16K
Field Buzz,4.2,See 9 salaries from this location,"BDT 80,000", / mo,BDT 100K,BDT 38K
GrameenPhone,4.4,See 9 salaries from this location,"BDT 55,000", / mo,BDT 60K,BDT 15K
